requirement_id,subsection,text,verification_phrase,verification_labels,verification_classes,requirement_types,source_sections,target_components,status,test_id,evidence_id
FBVBS-REQ-0200,G.3. Microhypervisor and Partition Requirements,マイクロハイパーバイザーの責務は、パーティション管理、CPU 状態遷移、第二レベルページング管理、IOMMU ドメイン制御、限定的 CPU 制御強制、起動検証、一次監査ログ生成に限定しなければならない。,architecture inspection,architecture inspection,inspection,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0200,E-PART-0200
FBVBS-REQ-0201,G.3. Microhypervisor and Partition Requirements,新規 TCB ロジックは Ada/SPARK で実装しなければならない。C を含む例外を設ける場合は、境界、理由、安全性契約、適用サブセット、未定義動作不在の根拠、ならびに形式的解析または同等証拠を文書化しなければならない。,code review と proof artifact review,code review|proof artifact review,inspection|proof,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0201,E-PART-0201
FBVBS-REQ-0202,G.3. Microhypervisor and Partition Requirements,パーティション状態は Created、Measured、Loaded、Runnable、Running、Quiesced、Faulted、Destroyed を少なくとも持ち、不正遷移を許してはならない。,state-machine test と inspection,state-machine test|inspection,test|inspection,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0202,E-PART-0202
FBVBS-REQ-0203,G.3. Microhypervisor and Partition Requirements,Destroyed パーティションのメモリは再割当前にゼロ化しなければならない。,memory reuse test,memory reuse test,test,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0203,E-PART-0203
FBVBS-REQ-0204,G.3. Microhypervisor and Partition Requirements,capability はマイクロハイパーバイザーのみが付与、取消、監査でき、パーティション自身が生成または拡張してはならない。,proof、analysis、negative test,proof|analysis|negative test,proof|analysis|test,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0204,E-PART-0204
FBVBS-REQ-0205,G.3. Microhypervisor and Partition Requirements,hypercall ABI は固定形式で定義され、呼出番号、呼出元、長さ、返却コード、未使用領域ゼロ化条件を明示しなければならない。,interface test と fuzzing,interface test|fuzzing,test,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0205,E-PART-0205
FBVBS-REQ-0206,G.3. Microhypervisor and Partition Requirements,共有コマンドページの未使用領域がゼロ化されていない要求は `INVALID_PARAMETER` として拒否しなければならない。,negative interface test,negative interface test,test,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0206,E-PART-0206
FBVBS-REQ-0207,G.3. Microhypervisor and Partition Requirements,trap レジスタ規約は `RAX=command_page_gpa`、`RBX/RCX/RDX=0` を入力とし、返却時 `RAX=status_code`、`RBX=command_state`、`RCX=actual_output_length` を返す固定 ABI としなければならない。,interface test と trap-level inspection,interface test|trap-level inspection,test|inspection,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0207,E-PART-0207
FBVBS-REQ-0208,G.3. Microhypervisor and Partition Requirements,`abi_version` 不一致要求は `ABI_VERSION_UNSUPPORTED` で拒否しなければならない。,negative interface test,negative interface test,test,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0208,E-PART-0208
FBVBS-REQ-0209,G.3. Microhypervisor and Partition Requirements,`caller_sequence` は vCPU ごとに単調増加でなければならず、後退または再利用は `REPLAY_DETECTED` で拒否しなければならない。,replay test,replay test,test,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0209,E-PART-0209
FBVBS-REQ-0210,G.3. Microhypervisor and Partition Requirements,command page 状態機械は `EMPTY`、`READY`、`EXECUTING`、`COMPLETED`、`FAILED` に固定し、`EXECUTING` 中の再入は `RESOURCE_BUSY` としなければならない。,state-machine test と concurrency test,state-machine test|concurrency test,test,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0210,E-PART-0210
FBVBS-REQ-0211,G.3. Microhypervisor and Partition Requirements,partition lifecycle の合法遷移は Section 18.1 に列挙したものに限定し、表にない遷移は `INVALID_STATE` としなければならない。,lifecycle transition test と inspection,lifecycle transition test|inspection,test|inspection,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0211,E-PART-0211
FBVBS-REQ-0212,G.3. Microhypervisor and Partition Requirements,`PARTITION_RESUME` は `Quiesced` から `Runnable` へのみ有効であり、`Faulted` 回復には `PARTITION_RECOVER` を用いなければならない。,negative lifecycle test,negative lifecycle test,test,functional|interface|security,16-20|Appendix D|Appendix L,microhypervisor|partition manager|FreeBSD front-end,normative-frozen,T-PART-0212,E-PART-0212
FBVBS-REQ-0300,G.4. CPU Control and Translation Integrity Requirements,FreeBSD は CR0.WP、CR4.SMEP、CR4.SMAP、および構成依存の CET 関連制御を任意に解除できてはならない。,trap test と inspection,trap test|inspection,test|inspection,security|functional,21-25,microhypervisor|CPU virtualization path|IOMMU integration,normative-frozen,T-CPU-0300,E-CPU-0300
FBVBS-REQ-0301,G.4. CPU Control and Translation Integrity Requirements,Intel 構成では HLAT を必須とする。HLAT を用いない Intel 構成は FBVBS v7 適合を名乗ってはならない。,platform capability inspection と conformance review,platform capability inspection|conformance review,inspection,security|functional,21-25,microhypervisor|CPU virtualization path|IOMMU integration,normative-frozen,T-CPU-0301,E-CPU-0301
FBVBS-REQ-0302,G.4. CPU Control and Translation Integrity Requirements,AMD 構成では HLAT 相当の単一保証を主張してはならず、NPT write-protect、fault handling、shadow translation、TLB 同期を含む複合経路を実装しなければならない。,design inspection と adversarial test,design inspection|adversarial test,inspection|test,security|functional,21-25,microhypervisor|CPU virtualization path|IOMMU integration,normative-frozen,T-CPU-0302,E-CPU-0302
FBVBS-REQ-0303,G.4. CPU Control and Translation Integrity Requirements,AMD 構成で高保証を主張する場合、PFN 差し替え、PTE 改ざん、TLB invalidate race、複数コア更新競合に対する実証が完了していなければならない。,adversarial multiprocessor test,adversarial multiprocessor test,test,security|functional,21-25,microhypervisor|CPU virtualization path|IOMMU integration,normative-frozen,T-CPU-0303,E-CPU-0303
FBVBS-REQ-0304,G.4. CPU Control and Translation Integrity Requirements,SEV-SNP を用いる場合、RMP と VMPL は補強として利用してよいが、それのみを根拠として HLAT と同一保証を主張してはならない。,design review と documentation review,design review|documentation review,inspection,security|functional,21-25,microhypervisor|CPU virtualization path|IOMMU integration,normative-frozen,T-CPU-0304,E-CPU-0304
FBVBS-REQ-0400,G.5. Kernel Code Integrity Requirements,カーネルコードページおよび許可済みモジュールコードページは W^X を維持しなければならない。,memory protection test,memory protection test,test,security|functional|interface,26|Appendix L,Kernel Code Integrity Service|microhypervisor|FreeBSD front-end,normative-frozen,T-KCI-0400,E-KCI-0400
FBVBS-REQ-0401,G.5. Kernel Code Integrity Requirements,未署名モジュールは既定で不許可とし、署名、失効、世代番号、対象プラットフォームが許可条件を満たす場合のみ execute 権限を付与しなければならない。,module load test と negative test,module load test|negative test,test,security|functional|interface,26|Appendix L,Kernel Code Integrity Service|microhypervisor|FreeBSD front-end,normative-frozen,T-KCI-0401,E-KCI-0401
FBVBS-REQ-0402,G.5. Kernel Code Integrity Requirements,コード整合性を主張する構成では、Kernel Translation Integrity と整合する形でコードの物理ページ対応も保護しなければならない。,translation tamper test,translation tamper test,test,security|functional|interface,26|Appendix L,Kernel Code Integrity Service|microhypervisor|FreeBSD front-end,normative-frozen,T-KCI-0402,E-KCI-0402
FBVBS-REQ-0500,G.6. Kernel State Integrity Requirements,Kernel State Integrity Service は、少なくとも起動後不変状態、制御付き更新状態、保護対象外の高頻度状態を区別しなければならない。,design inspection,design inspection,inspection,security|functional|interface,27|Appendix H|Appendix L,Kernel State Integrity Service|microhypervisor|FreeBSD front-end,normative-frozen,T-KSI-0500,E-KSI-0500
FBVBS-REQ-0501,G.6. Kernel State Integrity Requirements,制御付き更新状態の変更は、検証済み shadow copy と最小時間の write-enable 区間を通じてのみ実行しなければならない。,concurrency test と analysis,concurrency test|analysis,test|analysis,security|functional|interface,27|Appendix H|Appendix L,Kernel State Integrity Service|microhypervisor|FreeBSD front-end,normative-frozen,T-KSI-0501,E-KSI-0501
FBVBS-REQ-0502,G.6. Kernel State Integrity Requirements,参照ポインタの更新は、登録済み正規オブジェクト集合に対する遷移のみを許可しなければならない。,negative test と proof または analysis,negative test|proof|analysis,test|proof|analysis,security|functional|interface,27|Appendix H|Appendix L,Kernel State Integrity Service|microhypervisor|FreeBSD front-end,normative-frozen,T-KSI-0502,E-KSI-0502
FBVBS-REQ-0503,G.6. Kernel State Integrity Requirements,`execve(2)`、`fexecve(2)`、`setuid(2)` 系、および対応する `gid` 系に関する典型的特権上昇は検査対象に含めなければならない。ABI v1 の承認入力は、操作種別と `ruid/euid/suid/rgid/egid/sgid` の完全な要求後状態を表現できなければならない。,syscall test と interface review,syscall test|interface review,test|inspection,security|functional|interface,27|Appendix H|Appendix L,Kernel State Integrity Service|microhypervisor|FreeBSD front-end,normative-frozen,T-KSI-0503,E-KSI-0503
FBVBS-REQ-0504,G.6. Kernel State Integrity Requirements,特権上昇認可の主キーにパスを用いてはならず、vnode または `fsid+fileid` に基づく識別子を主としなければならない。,exec path variation test,exec path variation test,test,security|functional|interface,27|Appendix H|Appendix L,Kernel State Integrity Service|microhypervisor|FreeBSD front-end,normative-frozen,T-KSI-0504,E-KSI-0504
FBVBS-REQ-0505,G.6. Kernel State Integrity Requirements,既存の特権付き file descriptor 継承など、exec 起点以外の権限持越し問題は別途残余リスクまたは補助対策として扱わなければならない。,documentation review,documentation review,inspection,security|functional|interface,27|Appendix H|Appendix L,Kernel State Integrity Service|microhypervisor|FreeBSD front-end,normative-frozen,T-KSI-0505,E-KSI-0505
FBVBS-REQ-0506,G.6. Kernel State Integrity Requirements,Tier B 更新時の callsite 検証は caller 提供値ではなくマイクロハイパーバイザーが観測した RIP に基づかなければならない。,adversarial caller spoofing test,adversarial caller spoofing test,test,security|functional|interface,27|Appendix H|Appendix L,Kernel State Integrity Service|microhypervisor|FreeBSD front-end,normative-frozen,T-KSI-0506,E-KSI-0506
FBVBS-REQ-0507,G.6. Kernel State Integrity Requirements,`KSI_VALIDATE_SETUID` 相当の ABI は、少なくとも `fsid`、`fileid`、測定ハッシュ、要求 UID/GID 遷移、caller ucred 参照、Jail context、MAC context を入力に含めなければならない。,interface review と syscall/path test,interface review|syscall/path test,inspection|test,security|functional|interface,27|Appendix H|Appendix L,Kernel State Integrity Service|microhypervisor|FreeBSD front-end,normative-frozen,T-KSI-0507,E-KSI-0507
FBVBS-REQ-0508,G.6. Kernel State Integrity Requirements,`CALLSITE_REJECTED` 判定は、マイクロハイパーバイザーが保持する許可 callsite table に対する完全一致 RIP 比較で行わなければならない。許可 table は対応 manifest の `allowed_callsites` metadata から KASLR 再配置後の実アドレスへ機械的に導出され、KLD 更新時には新 manifest に基づいて原子的に再計算されなければならない。,callsite relocation test と negative spoofing test,callsite relocation test|negative spoofing test,test,security|functional|interface,27|Appendix H|Appendix L,Kernel State Integrity Service|microhypervisor|FreeBSD front-end,normative-frozen,T-KSI-0508,E-KSI-0508
FBVBS-REQ-0600,G.7. Key Service Requirements,Identity Key Service は鍵素材をサービス境界外へ返却してはならない。,interface test と code inspection,interface test|code inspection,test|inspection,security|functional|interface,28-29|Appendix L,Identity Key Service|Storage Key Service|FreeBSD front-end,normative-frozen,T-KEY-0600,E-KEY-0600
FBVBS-REQ-0601,G.7. Key Service Requirements,Identity Key Service の API は `IMPORT_KEY`、`SIGN`、`KEY_EXCHANGE`、`DERIVE`、`DESTROY` 等の狭い操作集合に限定しなければならない。,interface review,interface review,inspection,security|functional|interface,28-29|Appendix L,Identity Key Service|Storage Key Service|FreeBSD front-end,normative-frozen,T-KEY-0601,E-KEY-0601
FBVBS-REQ-0602,G.7. Key Service Requirements,外部暗号ライブラリを用いる場合、それを該当性質の TCB に含めなければならない。,dependency review と evidence review,dependency review|evidence review,inspection,security|functional|interface,28-29|Appendix L,Identity Key Service|Storage Key Service|FreeBSD front-end,normative-frozen,T-KEY-0602,E-KEY-0602
FBVBS-REQ-0603,G.7. Key Service Requirements,Storage Key Service は未マウント時の鍵非抽出性を主張してよいが、オンライン平文保護を主張してはならない。,documentation review と threat-model review,documentation review|threat-model review,inspection,security|functional|interface,28-29|Appendix L,Identity Key Service|Storage Key Service|FreeBSD front-end,normative-frozen,T-KEY-0603,E-KEY-0603
FBVBS-REQ-0604,G.7. Key Service Requirements,`KEY_EXCHANGE` の返却値は生の共有秘密ではなく不透明ハンドルまたはサービス内部参照でなければならない。,interface test と code inspection,interface test|code inspection,test|inspection,security|functional|interface,28-29|Appendix L,Identity Key Service|Storage Key Service|FreeBSD front-end,normative-frozen,T-KEY-0604,E-KEY-0604
FBVBS-REQ-0700,G.8. Update and Artifact Requirements,更新搬送手段を `freebsd-update` に固定してはならない。,design inspection,design inspection,inspection,update|security|interface,30|39-40|Appendix L,Update Verification Service|Kernel Code Integrity Service|microhypervisor,normative-frozen,T-UVS-0700,E-UVS-0700
FBVBS-REQ-0701,G.8. Update and Artifact Requirements,成果物には署名付きマニフェストが付随し、少なくとも format version、component type、target platform、hash、size、generation、security epoch、dependency、revocation reference を含まなければならない。,parser test と inspection,parser test|inspection,test|inspection,update|security|interface,30|39-40|Appendix L,Update Verification Service|Kernel Code Integrity Service|microhypervisor,normative-frozen,T-UVS-0701,E-UVS-0701
FBVBS-REQ-0702,G.8. Update and Artifact Requirements,更新メタデータ集合は freshness、freeze 攻撃検出、mix-and-match 防止、一貫性 snapshot view を扱えなければならない。,update adversarial test,update adversarial test,test,update|security|interface,30|39-40|Appendix L,Update Verification Service|Kernel Code Integrity Service|microhypervisor,normative-frozen,T-UVS-0702,E-UVS-0702
FBVBS-REQ-0703,G.8. Update and Artifact Requirements,高保証運用プロファイルでは、署名鍵を HSM または同等保護で管理し、二者承認以上のリリース署名手順を要求しなければならない。,operational audit,operational audit,operational drill,update|security|interface,30|39-40|Appendix L,Update Verification Service|Kernel Code Integrity Service|microhypervisor,normative-frozen,T-UVS-0703,E-UVS-0703
FBVBS-REQ-0704,G.8. Update and Artifact Requirements,freshness 失敗、freeze 攻撃、期限切れメタデータ、stale mirror 検出時は `FRESHNESS_FAILED` を返さなければならない。,adversarial update test,adversarial update test,test,update|security|interface,30|39-40|Appendix L,Update Verification Service|Kernel Code Integrity Service|microhypervisor,normative-frozen,T-UVS-0704,E-UVS-0704
FBVBS-REQ-0705,G.8. Update and Artifact Requirements,snapshot view 不整合、mix-and-match、役割分離違反検出時は `SNAPSHOT_INCONSISTENT` または `DEPENDENCY_UNSATISFIED` を返さなければならない。,adversarial metadata consistency test,adversarial metadata consistency test,test,update|security|interface,30|39-40|Appendix L,Update Verification Service|Kernel Code Integrity Service|microhypervisor,normative-frozen,T-UVS-0705,E-UVS-0705
FBVBS-REQ-0800,G.9. FreeBSD Integration Requirements,FreeBSD front-end は非信頼の ABI 変換層として扱い、その侵害時影響は誤要求、要求省略、サービス拒否に閉じ込めなければならない。,architecture review と adversarial test,architecture review|adversarial test,inspection|test,functional|security|interface,31-32,FreeBSD front-end|FreeBSD kernel fork|integration hooks,normative-frozen,T-FBSD-0800,E-FBSD-0800
FBVBS-REQ-0801,G.9. FreeBSD Integration Requirements,front-end は信頼サービスメモリ、第二レベルページテーブル、および一次監査ログに対する書換え能力を持ってはならない。,isolation test,isolation test,test,functional|security|interface,31-32,FreeBSD front-end|FreeBSD kernel fork|integration hooks,normative-frozen,T-FBSD-0801,E-FBSD-0801
FBVBS-REQ-0802,G.9. FreeBSD Integration Requirements,FreeBSD 介入点は、KLD ロード、資格情報変更、Jail、選択された MAC フック、Capsicum capability mode/rights 縮減導入点、鍵利用経路、`bhyve`/`vmm` 統合経路を少なくとも含まなければならない。,integration review と syscall/path test,integration review|syscall/path test,inspection|test,functional|security|interface,31-32,FreeBSD front-end|FreeBSD kernel fork|integration hooks,normative-frozen,T-FBSD-0802,E-FBSD-0802
FBVBS-REQ-0803,G.9. FreeBSD Integration Requirements,`mac(9)` の entry point checks だけで攻撃面を網羅したと主張してはならず、各不変条件に対して十分な介入点の存在を個別に実証しなければならない。,code audit と threat traceability review,code audit|threat traceability review,inspection,functional|security|interface,31-32,FreeBSD front-end|FreeBSD kernel fork|integration hooks,normative-frozen,T-FBSD-0803,E-FBSD-0803
FBVBS-REQ-0804,G.9. FreeBSD Integration Requirements,`vmm(4)` と passthrough が要求する boot-time 設定および loader 段階の介入点を設計対象に含めなければならない。,boot integration test,boot integration test,test,functional|security|interface,31-32,FreeBSD front-end|FreeBSD kernel fork|integration hooks,normative-frozen,T-FBSD-0804,E-FBSD-0804
FBVBS-REQ-0900,G.10. `bhyve` and Virtualization Requirements,`bhyve` ユーザーランドは制御プレーンおよびデバイスモデル層として残し、実行プレーンの最終制御権はマイクロハイパーバイザーが保持しなければならない。,architecture inspection,architecture inspection,inspection,functional|security|interface,33-38|Appendix L,microhypervisor|vmm front-end|bhyve userland,normative-frozen,T-VM-0900,E-VM-0900
FBVBS-REQ-0901,G.10. `bhyve` and Virtualization Requirements,"`/dev/vmm` と `libvmmapi` の高レベル ABI は、`VM_CREATE`, `VM_DESTROY`, `VM_RUN`, `VM_SET_REGISTER`, `VM_GET_REGISTER`, `VM_MAP_MEMORY`, `VM_INJECT_INTERRUPT`, `VM_ASSIGN_DEVICE`, `VM_RELEASE_DEVICE` に対応する本仕様書定義の意味論を維持しなければならない。ABI v1 の適合範囲外の既存操作は互換義務を負わず、必要なら明示的拡張としてのみ追加してよい。",compatibility test,compatibility test,test,functional|security|interface,33-38|Appendix L,microhypervisor|vmm front-end|bhyve userland,normative-frozen,T-VM-0901,E-VM-0901
FBVBS-REQ-0902,G.10. `bhyve` and Virtualization Requirements,未分類 VM exit は fail-open で FreeBSD に委譲してはならず、fail-closed として停止・記録されなければならない。,exit classification test と fault injection,exit classification test|fault injection,test,functional|security|interface,33-38|Appendix L,microhypervisor|vmm front-end|bhyve userland,normative-frozen,T-VM-0902,E-VM-0902
FBVBS-REQ-0903,G.10. `bhyve` and Virtualization Requirements,guest memory は再利用前にゼロ化しなければならない。,memory reuse test,memory reuse test,test,functional|security|interface,33-38|Appendix L,microhypervisor|vmm front-end|bhyve userland,normative-frozen,T-VM-0903,E-VM-0903
FBVBS-REQ-0904,G.10. `bhyve` and Virtualization Requirements,passthrough デバイスは、IOMMU group、ACS、MSI/MSI-X 制御、interrupt remapping、reset 能力を満たした場合にのみ割り当ててよい。,device qualification test,device qualification test,test,functional|security|interface,33-38|Appendix L,microhypervisor|vmm front-end|bhyve userland,normative-frozen,T-VM-0904,E-VM-0904
FBVBS-REQ-0905,G.10. `bhyve` and Virtualization Requirements,live migration と nested virtualization を本版の適合要件に含めてはならない。,documentation review,documentation review,inspection,functional|security|interface,33-38|Appendix L,microhypervisor|vmm front-end|bhyve userland,normative-frozen,T-VM-0905,E-VM-0905
FBVBS-REQ-0906,G.10. `bhyve` and Virtualization Requirements,VM 実行系 ABI は `Runnable` 状態の vCPU に対してのみ `VM_RUN` を許可し、その他状態では `INVALID_STATE` を返さなければならない。,VM lifecycle negative test,VM lifecycle negative test,test,functional|security|interface,33-38|Appendix L,microhypervisor|vmm front-end|bhyve userland,normative-frozen,T-VM-0906,E-VM-0906
FBVBS-REQ-0907,G.10. `bhyve` and Virtualization Requirements,vCPU 状態機械は少なくとも `Created`、`Runnable`、`Running`、`Blocked`、`Faulted`、`Destroyed` を持ち、`VM_RUN`、割込み待ち、fault、破棄要求に対する合法遷移を定義しなければならない。`Blocked` は外部イベントまたは割込み注入により再開可能な待機状態に限定しなければならない。,vCPU state-machine test と inspection,vCPU state-machine test|inspection,test|inspection,functional|security|interface,33-38|Appendix L,microhypervisor|vmm front-end|bhyve userland,normative-frozen,T-VM-0907,E-VM-0907
FBVBS-REQ-0908,G.10. `bhyve` and Virtualization Requirements,ABI v1 は、各 vCPU の外部可視状態を返す `VM_GET_VCPU_STATUS` call を持たなければならない。,interface test と VM lifecycle test,interface test|VM lifecycle test,test,functional|security|interface,33-38|Appendix L,microhypervisor|vmm front-end|bhyve userland,normative-frozen,T-VM-0908,E-VM-0908
FBVBS-REQ-0909,G.10. `bhyve` and Virtualization Requirements,memory object と shared registration の寿命は、対応する release/unregister ABI により明示的に終了できなければならない。,resource lifecycle test,resource lifecycle test,test,functional|security|interface,33-38|Appendix L,microhypervisor|vmm front-end|bhyve userland,normative-frozen,T-VM-0909,E-VM-0909
FBVBS-REQ-1000,G.11. Quality and Supply-Chain Requirements,要求、設計、実装、試験、証拠の双方向トレーサビリティを維持しなければならない。,traceability audit,traceability audit,inspection,quality|operational|security,41-45,all TCB components|build system|CI|release pipeline,normative-frozen,T-QUAL-1000,E-QUAL-1000
FBVBS-REQ-1001,G.11. Quality and Supply-Chain Requirements,TCB 変更は独立レビュア一名以上の承認を必要としなければならない。,review record audit,review record audit,inspection,quality|operational|security,41-45,all TCB components|build system|CI|release pipeline,normative-frozen,T-QUAL-1001,E-QUAL-1001
FBVBS-REQ-1002,G.11. Quality and Supply-Chain Requirements,SPARK 対象コードは実行時例外不在を証明しなければならない。,proof artifact review,proof artifact review,proof,quality|operational|security,41-45,all TCB components|build system|CI|release pipeline,normative-frozen,T-QUAL-1002,E-QUAL-1002
FBVBS-REQ-1003,G.11. Quality and Supply-Chain Requirements,Rust TCB 部は `no_std`、`panic=abort`、固定 toolchain、`unsafe` 局所化、安全性契約文書化を満たさなければならない。,code inspection と build inspection,code inspection|build inspection,inspection,quality|operational|security,41-45,all TCB components|build system|CI|release pipeline,normative-frozen,T-QUAL-1003,E-QUAL-1003
FBVBS-REQ-1004,G.11. Quality and Supply-Chain Requirements,hypercall parser、IPC parser、update parser、signature loader、log decoder、`bhyve` front-end 境界は fuzzing 対象に含めなければならない。,fuzz campaign evidence,fuzz campaign evidence,test,quality|operational|security,41-45,all TCB components|build system|CI|release pipeline,normative-frozen,T-QUAL-1004,E-QUAL-1004
